Project key,Project name,Summary,Issue key,Issue Type,Status,Project description,Created,Updated,Last Viewed,Fix versions,Description, Issue link (Relates),Attachment,Status Category,Status Category Changed
IGCM,irina_gosav_company_managed,"""Huse"" module product purchase ",IGCM-8,Story,In Progress,Project Manual testing,10/19/2024 22:52,10/20/2024 1:15,10/20/2024 6:26,V1.0,"Preventing incorrect or invalid data entry and validating acceptance of minimum and maximum values. Successfully obtaining a product purchase by completing the product selection and to add them to the cart and add vouchers if the case.

* Make sure that the button “Adauga in cos” from Huse module is functional.
* Enter data for the required field to choose the desired quantity of the product and validate if it is correctly registered.
* Make sure that the next buttons from Huse module are functional: “Continua cumparaturile”, “Actualizeaza cosul”, “Aplica cupon” and “Plaseaza comanda”.","IGCM-9
IGCM-10
IGCM-11
IGCM-12
IGCM-13
IGCM-14
IGCM-15
IGCM-16
IGCM-17
IGCM-22
IGCM-23
IGCM-24
IGCM-25
IGCM-26
IGCM-27
IGCM-28
IGCM-30
IGCM-31","19/Oct/24 10:52 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Actualizeaza cosul.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12120
19/Oct/24 10:52 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Adauga in cos.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12123
19/Oct/24 10:52 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Cod cupon.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12119
19/Oct/24 10:52 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Continua cumparaturile.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12121
19/Oct/24 10:52 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Plaseaza comanda mandatory fields.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12118
19/Oct/24 10:52 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Plaseaza comanda.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12122
19/Oct/24 10:52 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Required Field Marking of the quantity selection.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12124
",In Progress,10/19/2024 22:52
IGCM,irina_gosav_company_managed,"""Huse"" module access and navigation",IGCM-6,Story,In Progress,Project Manual testing,10/19/2024 22:44,10/20/2024 0:53,10/20/2024 6:26,V1.0,"Verifies that all the functionalities of the software work according to the specified requirements and we can access the module “ Huse”.

* Ensure the correct main interface is displayed.
* Verify the “ Huse Menu” button and ensure the Huse module is created/updated.
* Make sure that the next buttons from Huse module are functional: “Filtreaza” and Sorteaza dupa”.","
IGCM-1
IGCM-5
IGCM-2
IGCM-3
IGCM-4
IGCM-7
IGCM-18
IGCM-19
IGCM-20
IGCM-21
IGCM-29","19/Oct/24 10:42 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Filtreaza.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12114
19/Oct/24 10:42 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Huse button.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12117
19/Oct/24 10:42 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Price balance.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12113
19/Oct/24 10:42 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Sorteaza dupa.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12116
19/Oct/24 10:42 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;main interface display.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12115",In Progress,10/19/2024 22:44
